Timestamp,Velocity,Accel_X,Rotate_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200722_140239_1451336176,88,-0.044259,-2.9302,-9,50,0,0,0,1,0:00:09
20200722_140239_1451352842,88,-0.048916,-2.9609,-9,50,0,0,0,1,0:00:09
20200722_140239_1451386174,88,-0.051931,-2.9692,-9,50,0,0,0,1,0:00:09
20200722_140239_1451419506,88,-0.042762,-2.9533,-9,50,0,0,0,1,0:00:09
20200722_140239_1451436172,88,-0.039481,-2.9662,-9,50,0,0,0,1,0:00:09
20200722_140239_1451486170,89,-0.038338,-2.9783,-9,50,0,0,0,1,0:00:09
20200722_140239_1451502836,89,-0.039017,-2.9586,-9,50,0,0,0,1,0:00:09
20200722_140239_1451536168,89,-0.047199,-2.9613,-9,50,0,0,0,1,0:00:09
20200722_140239_1451586166,89,-0.058709,-2.9973,-9,50,0,0,0,1,0:00:09
20200722_140239_1451602832,89,-0.072222,-2.984,-10,50,0,0,0,1,0:00:09
20200722_140239_1451619498,89,-0.070226,-2.9613,-10,50,0,0,0,1,0:00:09
20200722_140239_1451652830,89,-0.068372,-2.9506,-10,50,0,0,0,1,0:00:09
20200722_140239_1451686162,89,-0.081048,-2.9939,-10,50,0,0,0,1,0:00:09
20200722_140239_1451719494,89,-0.101577,-3.0778,-11,50,0,0,0,1,0:00:09
20200722_140239_1451736160,89,-0.13098,-3.1973,-11,50,0,0,0,1,0:00:09
20200722_140239_1451786158,89,-0.15176,-3.2686,-11,50,0,0,0,1,0:00:09
20200722_140239_1451802824,89,-0.206053,-3.5418,-12,50,0,0,0,1,0:00:09
20200722_140239_1451852822,89,-0.214157,-3.6321,-12,50,0,0,0,1,0:00:09
20200722_140239_1451902820,89,-0.211733,-3.9016,-12,50,0,0,0,1,0:00:09
20200722_140240_1451936152,89,-0.203168,-4.053,-13,50,0,0,0,1,0:00:10
20200722_140240_1451952818,90,-0.209407,-4.1949,-14,50,0,0,0,1,0:00:10
20200722_140240_1451986150,90,-0.21564,-4.3019,-14,50,0,0,0,1,0:00:10
20200722_140240_1452019482,90,-0.261743,-4.5387,-15,50,0,0,0,1,0:00:10
20200722_140240_1452036148,90,-0.312985,-4.8047,-16,50,0,0,0,1,0:00:10
20200722_140240_1452069480,90,-0.320228,-4.9291,-16,50,0,0,0,1,0:00:10
20200722_140240_1452102812,90,-0.302435,-5.1803,-16,50,0,0,0,1,0:00:10
20200722_140240_1452136144,90,-0.262493,-5.2934,-16,50,0,0,0,1,0:00:10
20200722_140240_1452169476,90,-0.19355,-5.1856,-16,50,0,0,0,1,0:00:10
20200722_140240_1452186142,90,-0.090599,-4.9314,-16,50,0,0,0,1,0:00:10
20200722_140240_1452202808,90,-0.039879,-4.7857,-16,50,0,0,0,1,0:00:10
20200722_140240_1452252806,90,-0.023005,-4.6737,-16,50,0,0,0,1,0:00:10
20200722_140240_1452269472,90,0.003738,-4.5721,-16,50,0,0,0,1,0:00:10
20200722_140240_1452302804,90,0.003831,-4.5963,-16,50,0,0,0,1,0:00:10
20200722_140240_1452352802,90,0.008262,-4.6172,-16,50,0,0,0,1,0:00:10
20200722_140240_1452369468,91,-0.034117,-4.6358,-16,50,0,0,0,1,0:00:10
20200722_140240_1452402800,91,-0.044003,-4.6533,-17,50,0,0,0,1,0:00:10
20200722_140240_1452419466,91,-0.072537,-4.747,-17,50,0,0,0,1,0:00:10
